start install.py for installing java

The operation failed on calc02.info.ucl.ac.be
The operation failed on calc03.info.ucl.ac.be
The operation failed on calc04.info.ucl.ac.be
The operation failed on calc06.info.ucl.ac.be
The operation failed on calc07.info.ucl.ac.be
The operation failed on calc08.info.ucl.ac.be
The operation failed on calc09.info.ucl.ac.be
The operation failed on calc1.info.ucl.ac.be
The operation failed on calc10.info.ucl.ac.be
The operation failed on calc11.info.ucl.ac.be
The operation failed on calc12.info.ucl.ac.be
The operation failed on calc13.info.ucl.ac.be
The operation failed on calc14.info.ucl.ac.be
The operation failed on chronos.disy.inf.uni-konstanz.de
The operation failed on cs-planetlab3.cs.surrey.sfu.ca
The operation failed on csplanetlab2.kaist.ac.kr
The operation failed on host149-82-static.93-94-b.business.telecomitalia.it
The operation failed on host2.planetlab.informatik.tu-darmstadt.de
The operation failed on iason.inf.uth.gr
The operation failed on itchy.comlab.bth.se
The operation failed on kc-sce-plab2.umkc.edu
The operation failed on lefthand.eecs.harvard.edu
The operation failed on node-1.mcgillplanetlab.org
The operation failed on node-2.mcgillplanetlab.org
The operation failed on node1pl.planet-lab.telecom-lille1.eu
The operation failed on nw144.csie.ncu.edu.tw
The operation failed on onelab01.ericsson.co.hu
The operation failed on onelab02.ericsson.co.hu
The operation failed on onelab02.pl.sophia.inria.fr
The operation failed on onelab1.info.ucl.ac.be
The operation failed on onelab11.pl.sophia.inria.fr
The operation failed on orbpl1.rutgers.edu
The operation failed on orbpl2.rutgers.edu
The operation failed on pads21.cs.nthu.edu.tw
The operation failed on pads23.cs.nthu.edu.tw
The operation failed on pl1.planet.cs.kent.edu
The operation failed on pl2.cewit.stonybrook.edu
The operation failed on pl3.planetlab.uvic.ca
The operation failed on plab2.tidprojects.com
The operation failed on planck227ple.test.ibbt.be
The operation failed on planet1.att.nodes.planet-lab.org
The operation failed on planet1.cc.gt.atl.ga.us
The operation failed on planet1.inf.tu-dresden.de
The operation failed on planet1.itc.auth.gr
The operation failed on planet1.pnl.nitech.ac.jp
The operation failed on planet1.prakinf.tu-ilmenau.de
The operation failed on planet1.unipr.it
The operation failed on planet1.zib.de
The operation failed on planet2.cc.gt.atl.ga.us
The operation failed on planet2.dsp.ac.cn
The operation failed on planet2.itc.auth.gr
The operation failed on planet2.pittsburgh.intel-research.net
The operation failed on planet2.pnl.nitech.ac.jp
The operation failed on planet2.scs.stanford.edu
The operation failed on planet2.unipr.it
The operation failed on planet3.cc.gt.atl.ga.us
The operation failed on planet4.berkeley.intel-research.net
The operation failed on planetlab-01.cs.princeton.edu
The operation failed on planetlab-1.amst.nodes.planet-lab.org
The operation failed on planetlab-1.cs.auckland.ac.nz
The operation failed on planetlab-1.cs.uh.edu
The operation failed on planetlab-1.di.fc.ul.pt
The operation failed on planetlab-1.fokus.fraunhofer.de
The operation failed on planetlab-1.imperial.ac.uk
The operation failed on planetlab-1.pdl.nudt.edu.cn
The operation failed on planetlab-1.sjtu.edu.cn
The operation failed on planetlab-1.ssvl.kth.se
The operation failed on planetlab-1.usask.ca
The operation failed on planetlab-2.cs.uic.edu
The operation failed on planetlab-2.dis.uniroma1.it
The operation failed on planetlab-2.fing.edu.uy
The operation failed on planetlab-2.iscte.pt
The operation failed on planetlab-2a.ics.uci.edu
The operation failed on planetlab.urv.net
The operation failed on planetlab01.mpi-sws.mpg.de
The operation failed on planetlab02.erin.utoronto.ca

